finish get ip address
start KMedians ...
t: 174 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 175 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 176 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 177 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 178 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 179 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 180 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 181 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 182 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 183 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 184 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 185 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 186 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 187 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 188 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 189 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 190 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
